No,Apakah_BapakIbu_tahu_mengenai_pendanaan_untuk_mengembangkan_usaha,Apakah_Bapak_Ibu_tahu_yang_dimaksud_dengan_dana_desa,Apakah_Bapak_Ibu_tahu_yang_dimaksud_dengan_dana_CSR_Coorporate_Social_Responsibility,Modal_Usaha_Bapak_Ibu_diperoleh_dari,Modal_awal,Apakah_Bapak_Ibu_mengetahui_adanya_perusahaan_listrik,Jika_tahu_sudah_berapa_lama_perusahaan_beraktifitas_tahun,Apakah_perusahaan_memberikan_bantuan_buat_masyarakat_desa,dalam_bentuk,Apakah_pemerintah_desa_memberikan_bantuan_buat_masyarakat,Jika_ya_dalam_bentuk
1,2,1,2,1,2.000.000,1,3,1,1,1,3
2,2,1,1,1,3.000.000,1,7,1,1,1,3
3,1,1,1,3,30.000.000,1,3,1,1,1,3
4,2,1,2,1,2.000.000,1,3,2,1,1,4
5,2,1,1,1,300,1,10,1,1,1,1
6,1,2,1,1,2.000.000,1,8,1,1,1,1
7,2,2,2,1,1.000.000,1,23,1,1,2,
8,1,1,2,2,1.500.000,1,13,1,1,1,1
9,2,2,2,1,2.000.000,2,,2,,2,
10,1,2,2,1,1.000.000,1,3,1,1,1,1
11,2,2,2,1,300,1,6,1,1,1,1
12,2,2,2,1,20.000.000,1,7,1,1,1,1
13,2,1,1,1,1.000.000,1,12,1,1,1,1
14,1,2,1,1,2.000.000,1,8,1,1,2,
15,2,2,2,3,5.000.000,2,,2,,1,1
16,2,2,1,1,5.000.000,1,5,1,1,1,1
